"COUNTRY","GDP..BILLIONS.","CODE","country","year","total_netwgt_kgs","mean_netwgt_kgs","total_value_usd","mean_value_usd"
"Lebanon",47.5,"LBN",,,,,,
"Lesotho",2.46,"LSO",,,,,,
"Liberia",2.07,"LBR",,,,,,
"Libya",49.34,"LBY",,,,,,
"Liechtenstein",5.11,"LIE",,,,,,
"Lithuania",48.72,"LTU",,,,,,
"Luxembourg",63.93,"LUX",,,,,,
"Macau",51.68,"MAC",,,,,,
"Macedonia",10.92,"MKD",,,,,,
"Madagascar",11.19,"MDG",,,,,,
"Malawi",4.41,"MWI",,,,,,
"Malaysia",336.9,"MYS",,,,,,
"Maldives",2.41,"MDV",,,,,,
"Mali",12.04,"MLI",,,,,,
"Malta",10.57,"MLT",,,,,,
"Marshall Islands",0.18,"MHL",,,,,,
"Mauritania",4.29,"MRT",,,,,,
"Mauritius",12.72,"MUS",,,,,,
"Mexico",1296,"MEX",,,,,,
"Micronesia, Federated States of",0.34,"FSM",,,,,,
"Moldova",7.74,"MDA",,,,,,
"Monaco",6.06,"MCO",,,,,,
"Mongolia",11.73,"MNG",,,,,,
"Montenegro",4.66,"MNE",,,,,,
"Morocco",112.6,"MAR",,,,,,
"Mozambique",16.59,"MOZ",,,,,,
"Namibia",13.11,"NAM",,,,,,
"Nepal",19.64,"NPL",,,,,,
"Netherlands",880.4,"NLD",,,,,,
"New Caledonia",11.1,"NCL",,,,,,
"New Zealand",201,"NZL",,,,,,
"Nicaragua",11.85,"NIC",,,,,,
"Nigeria",594.3,"NGA",,,,,,
"Niger",8.29,"NER",,,,,,
"Niue",0.01,"NIU",,,,,,
"Northern Mariana Islands",1.23,"MNP",,,,,,
"Norway",511.6,"NOR",,,,,,
"Oman",80.54,"OMN",,,,,,
"Pakistan",237.5,"PAK",,,,,,
"Palau",0.65,"PLW",,,,,,
"Panama",44.69,"PAN",,,,,,
"Papua New Guinea",16.1,"PNG",,,,,,
"Paraguay",31.3,"PRY",,,,,,
"Peru",208.2,"PER",,,,,,
"Philippines",284.6,"PHL",,,,,,
"Poland",552.2,"POL",,,,,,
"Portugal",228.2,"PRT",,,,,,
"Puerto Rico",93.52,"PRI",,,,,,
"Qatar",212,"QAT",,,,,,
"Romania",199,"ROU",,,,,,
"Russia",2057,"RUS",,,,,,
"Rwanda",8,"RWA",,,,,,
"Saint Kitts and Nevis",0.81,"KNA",,,,,,
"Saint Lucia",1.35,"LCA",,,,,,
"Saint Martin",0.56,"MAF",,,,,,
"Saint Pierre and Miquelon",0.22,"SPM",,,,,,
"Saint Vincent and the Grenadines",0.75,"VCT",,,,,,
"Samoa",0.83,"WSM",,,,,,
"San Marino",1.86,"SMR",,,,,,
"Sao Tome and Principe",0.36,"STP",,,,,,
"Saudi Arabia",777.9,"SAU",,,,,,
"Senegal",15.88,"SEN",,,,,,
"Serbia",42.65,"SRB",,,,,,
"Seychelles",1.47,"SYC",,,,,,
"Sierra Leone",5.41,"SLE",,,,,,
"Singapore",307.9,"SGP",,,,,,
"Sint Maarten",304.1,"SXM",,,,,,
"Slovakia",99.75,"SVK",,,,,,
"Slovenia",49.93,"SVN",,,,,,
"Solomon Islands",1.16,"SLB",,,,,,
"Somalia",2.37,"SOM",,,,,,
"South Africa",341.2,"ZAF","South Africa",2010,884656,73721.33,4031722.34,335976.86
"South Africa",341.2,"ZAF","South Africa",2011,2049268,170772.33,5810609.98,484217.5
"South Africa",341.2,"ZAF","South Africa",2012,3721715.81,286285.83,6706382.85,515875.6
"South Africa",341.2,"ZAF","South Africa",2013,5324259.6,443688.3,5963912.72,496992.73
"South Africa",341.2,"ZAF","South Africa",2014,5408860.8,450738.4,8684073.11,723672.76
"South Africa",341.2,"ZAF","South Africa",2015,5325654,443804.5,21019240.68,1751603.39
"South Africa",341.2,"ZAF","South Africa",2016,4006123.3,400612.33,18810540.02,1881054
"South Africa",341.2,"ZAF","South Africa",2017,3280311.5,273359.29,17211370,1434280.83
"South Africa",341.2,"ZAF","South Africa",2018,551858.59,61317.62,3309065.34,367673.93
"South Africa",341.2,"ZAF","South Africa",2019,1060970.7,117885.63,5989378.42,665486.49
"South Africa",341.2,"ZAF","South Africa",2020,8472423,770220.27,34231207.86,3111927.99
"South Africa",341.2,"ZAF","South Africa",2021,6023815.4,501984.62,38870809.83,3239234.15
"South Africa",341.2,"ZAF","South Africa",2022,5390370.4,449197.53,35252571.83,2937714.32
"South Africa",341.2,"ZAF","South Africa",2023,5969608,497467.33,38291709.06,3190975.75
"South Africa",341.2,"ZAF","South Africa",2024,5683031,473585.92,37723439.71,3143619.98
"South Sudan",11.89,"SSD",,,,,,
"Spain",1400,"ESP",,,,,,
"Sri Lanka",71.57,"LKA",,,,,,
"Sudan",70.03,"SDN",,,,,,
"Suriname",5.27,"SUR",,,,,,
"Swaziland",3.84,"SWZ",,,,,,
"Sweden",559.1,"SWE",,,,,,
"Switzerland",679,"CHE",,,,,,
"Syria",64.7,"SYR",,,,,,
"Taiwan",529.5,"TWN",,,,,,
"Tajikistan",9.16,"TJK",,,,,,
"Tanzania",36.62,"TZA",,,,,,
"Thailand",373.8,"THA",,,,,,
"Timor-Leste",4.51,"TLS",,,,,,
"Togo",4.84,"TGO",,,,,,
"Tonga",0.49,"TON",,,,,,
"Trinidad and Tobago",29.63,"TTO",,,,,,
"Tunisia",49.12,"TUN",,,,,,
"Turkey",813.3,"TUR",,,,,,
"Turkmenistan",43.5,"TKM",,,,,,
"Tuvalu",0.04,"TUV",,,,,,
"Uganda",26.09,"UGA",,,,,,
"Ukraine",134.9,"UKR",,,,,,
"United Arab Emirates",416.4,"ARE",,,,,,
"United Kingdom",2848,"GBR",,,,,,
"United States",17420,"USA",,,,,,
"Uruguay",55.6,"URY","Uruguay",2023,49983.7,24991.85,214552.19,107276.1
"Uzbekistan",63.08,"UZB",,,,,,
"Vanuatu",0.82,"VUT",,,,,,
"Venezuela",209.2,"VEN",,,,,,
"Vietnam",187.8,"VNM",,,,,,
"Virgin Islands",5.08,"VGB",,,,,,
"West Bank",6.64,"WBG",,,,,,
"Yemen",45.45,"YEM",,,,,,
"Zambia",25.61,"ZMB",,,,,,
"Zimbabwe",13.74,"ZWE",,,,,,
