"iso_code","country","continent","net_wgt_kgs","net_wgt_lbs","is_net_wgt_estimated","primary_value_usd","month_abb","month","year","month_year","nh_season","sh_season"
"IND","India","Asia",46752,103069.46,FALSE,206087.011,"Jun",6,2011,Jun 2011,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",439,967.82,FALSE,242156.55,"Jun",6,2011,Jun 2011,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"IND","India","Asia",125869,277490.8,FALSE,1301501.82,"Jul",7,2011,Jul 2011,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",19926,43928.86,FALSE,168775.949,"Jul",7,2011,Jul 2011,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",105,231.48,FALSE,70932.028,"Aug",8,2011,Aug 2011,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",26596,58633.54,FALSE,198965.162,"Sep",9,2011,Sep 2011,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"ZAF","South Africa","Africa",477605,1052927.98,FALSE,843097.518,"Oct",10,2011,Oct 2011,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"ZAF","South Africa","Africa",542808,1196674.52,FALSE,1059771.446,"Nov",11,2011,Nov 2011,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"ZAF","South Africa","Africa",669999,1477079.8,FALSE,770578.667,"Dec",12,2011,Dec 2011,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"IND","India","Asia",32386,71398.18,FALSE,205813.16,"Jan",1,2012,Jan 2012,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"ZAF","South Africa","Africa",567591,1251311.12,FALSE,1268574.417,"Jan",1,2012,Jan 2012,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"ZAF","South Africa","Africa",286076,630683.15,FALSE,1322156.565,"Feb",2,2012,Feb 2012,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"IND","India","Asia",65688,144815.76,FALSE,761612.613,"Mar",3,2012,Mar 2012,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",37988,83748.34,FALSE,1199969.764,"Mar",3,2012,Mar 2012,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"IND","India","Asia",32024,70600.11,FALSE,438213.502,"Apr",4,2012,Apr 2012,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",568,1252.21,FALSE,105331.833,"Apr",4,2012,Apr 2012,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"IND","India","Asia",136661,301282.84,FALSE,1900482.283,"May",5,2012,May 2012,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",1610.1,3549.63,FALSE,82796.722,"May",5,2012,May 2012,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",7,15.43,FALSE,257.565,"May",5,2012,May 2012,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"IND","India","Asia",53980,119004.31,FALSE,704040.739,"Jun",6,2012,Jun 2012,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",77869.81,171671.78,FALSE,50664.799,"Jun",6,2012,Jun 2012,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",94617.2,208593.08,FALSE,106662.886,"Jul",7,2012,Jul 2012,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",2130,4695.8,FALSE,45988.019,"Aug",8,2012,Aug 2012,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",144198,317898.91,FALSE,149526.865,"Sep",9,2012,Sep 2012,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"ZAF","South Africa","Africa",886006,1953288.83,FALSE,793321.85,"Oct",10,2012,Oct 2012,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"ZAF","South Africa","Africa",1222185,2694429.05,FALSE,1106559.863,"Nov",11,2012,Nov 2012,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"ZAF","South Africa","Africa",400869.7,883757.34,FALSE,474571.701,"Dec",12,2012,Dec 2012,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"IND","India","Asia",65636,144701.13,FALSE,820136.314,"Jan",1,2013,Jan 2013,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"ZAF","South Africa","Africa",1072831,2365163.22,FALSE,982603.587,"Jan",1,2013,Jan 2013,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"IND","India","Asia",9020,19885.49,FALSE,112983.674,"Feb",2,2013,Feb 2013,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"ZAF","South Africa","Africa",371607,819244.79,FALSE,394215.231,"Feb",2,2013,Feb 2013,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"IND","India","Asia",28524,62884.01,FALSE,372330.131,"Mar",3,2013,Mar 2013,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",229805,506628.1,FALSE,248623.55,"Mar",3,2013,Mar 2013,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"IND","India","Asia",103556,228299.56,FALSE,1464673.806,"Apr",4,2013,Apr 2013,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",75606,166680.99,FALSE,99578.546,"Apr",4,2013,Apr 2013,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"IND","India","Asia",24879,54848.24,FALSE,318365.534,"May",5,2013,May 2013,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",25930,57165.28,FALSE,33209.484,"May",5,2013,May 2013,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"IND","India","Asia",37726,83170.74,FALSE,416749.733,"Jun",6,2013,Jun 2013,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",39495,87070.68,FALSE,11626.499,"Jun",6,2013,Jun 2013,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"IND","India","Asia",19514,43020.56,FALSE,230090.064,"Jul",7,2013,Jul 2013,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",31599.6,69664.48,FALSE,43248.079,"Jul",7,2013,Jul 2013,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",27110,59766.71,FALSE,33258.873,"Aug",8,2013,Aug 2013,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",401449,885034.47,FALSE,379609.437,"Sep",9,2013,Sep 2013,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"ZAF","South Africa","Africa",1182471,2606875.57,FALSE,1299191.722,"Oct",10,2013,Oct 2013,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"ZAF","South Africa","Africa",1042738,2298820.19,FALSE,1402897.805,"Nov",11,2013,Nov 2013,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"ZAF","South Africa","Africa",823618,1815748.24,FALSE,1035849.91,"Dec",12,2013,Dec 2013,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"ZAF","South Africa","Africa",1051964,2319159.83,FALSE,1103184.693,"Jan",1,2014,Jan 2014,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"ZAF","South Africa","Africa",308924,681053.85,FALSE,427097.172,"Feb",2,2014,Feb 2014,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"IND","India","Asia",7130,15718.8,FALSE,56368.816,"Mar",3,2014,Mar 2014,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",150705.3,332244.9,FALSE,336317.323,"Mar",3,2014,Mar 2014,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",54697,120585.01,FALSE,125439.073,"Apr",4,2014,Apr 2014,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",57340,126411.76,FALSE,139317.724,"May",5,2014,May 2014,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"IND","India","Asia",8748,19285.84,FALSE,96821.162,"Jun",6,2014,Jun 2014,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",46748,103060.64,FALSE,12060.141,"Jun",6,2014,Jun 2014,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",38830,85604.62,FALSE,110130.829,"Jul",7,2014,Jul 2014,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",82422,181707.54,FALSE,133049.663,"Aug",8,2014,Aug 2014,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",597562,1317385.19,FALSE,598235.533,"Sep",9,2014,Sep 2014,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"ZAF","South Africa","Africa",1133048.5,2497918.72,FALSE,1677616.169,"Oct",10,2014,Oct 2014,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"ZAF","South Africa","Africa",1234842,2722332.67,FALSE,2328462.601,"Nov",11,2014,Nov 2014,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"IND","India","Asia",9060,19973.68,FALSE,87039.452,"Dec",12,2014,Dec 2014,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"ZAF","South Africa","Africa",651778,1436909.78,FALSE,1693162.193,"Dec",12,2014,Dec 2014,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"ZAF","South Africa","Africa",444958,980954.41,FALSE,1657178.987,"Jan",1,2015,Jan 2015,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"ZAF","South Africa","Africa",426776,940870.37,FALSE,1974422.68,"Feb",2,2015,Feb 2015,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"IND","India","Asia",39450,86971.47,FALSE,312165.861,"Mar",3,2015,Mar 2015,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",270821,597051.98,FALSE,568311.876,"Mar",3,2015,Mar 2015,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"IND","India","Asia",51030,112500.74,FALSE,357866.704,"Apr",4,2015,Apr 2015,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",40052,88298.64,FALSE,191315.152,"Apr",4,2015,Apr 2015,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"IND","India","Asia",44149,97330.89,FALSE,351664.137,"May",5,2015,May 2015,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",38820,85582.57,FALSE,275997.248,"May",5,2015,May 2015,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"IND","India","Asia",43550,96010.33,FALSE,354732.863,"Jun",6,2015,Jun 2015,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",16774,36979.96,FALSE,141675.026,"Jun",6,2015,Jun 2015,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"IND","India","Asia",8893,19605.51,FALSE,96798.944,"Jul",7,2015,Jul 2015,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",76978,169705.7,FALSE,340160.298,"Jul",7,2015,Jul 2015,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",77135,170051.82,FALSE,343068.999,"Aug",8,2015,Aug 2015,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",680686,1500640.36,FALSE,2727538.213,"Sep",9,2015,Sep 2015,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"ZAF","South Africa","Africa",1207628,2662336.69,FALSE,4836239.544,"Oct",10,2015,Oct 2015,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"ZAF","South Africa","Africa",1386552,3056792.54,FALSE,5517451.852,"Nov",11,2015,Nov 2015,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"ZAF","South Africa","Africa",658474,1451671.78,FALSE,2445880.805,"Dec",12,2015,Dec 2015,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"CHN","China","Asia",428859.672,945464.03,TRUE,1598796,"Jan",1,2016,Jan 2016,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"IND","India","Asia",9410,20745.29,FALSE,88433.11,"Jan",1,2016,Jan 2016,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"ZAF","South Africa","Africa",941561,2075765.38,FALSE,3091921.51,"Jan",1,2016,Jan 2016,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"CHN","China","Asia",114698.79,252864.95,TRUE,427599,"Feb",2,2016,Feb 2016,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"ZAF","South Africa","Africa",271585,598736.29,FALSE,945997.77,"Feb",2,2016,Feb 2016,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"CHN","China","Asia",565655.735,1247044.63,TRUE,2108774,"Mar",3,2016,Mar 2016,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",38091,83975.42,FALSE,110379.58,"Mar",3,2016,Mar 2016,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"CHN","China","Asia",694100.172,1530213.24,TRUE,2587617,"Apr",4,2016,Apr 2016,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",12930,28505.48,FALSE,34522.244,"Apr",4,2016,Apr 2016,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"CHN","China","Asia",687688.183,1516077.37,TRUE,2563713,"May",5,2016,May 2016,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",18673,41166.5,FALSE,49470.574,"May",5,2016,May 2016,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"CHN","China","Asia",135050.094,297731.44,TRUE,503469,"Jun",6,2016,Jun 2016,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"CHN","China","Asia",85620.594,188759.16,TRUE,319195,"Jul",7,2016,Jul 2016,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",59110,130313.91,FALSE,358759.291,"Aug",8,2016,Aug 2016,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",191662.3,422538.71,FALSE,1064622.838,"Sep",9,2016,Sep 2016,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"ZAF","South Africa","Africa",732781,1615488.99,FALSE,3834178.258,"Oct",10,2016,Oct 2016,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"CHN","China","Asia",104646.796,230704.33,TRUE,390125,"Nov",11,2016,Nov 2016,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"ZAF","South Africa","Africa",1005718,2217205.9,FALSE,5401902.429,"Nov",11,2016,Nov 2016,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"CHN","China","Asia",540197.426,1190919.25,TRUE,2013865,"Dec",12,2016,Dec 2016,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"ZAF","South Africa","Africa",734012,1618202.86,FALSE,3918785.531,"Dec",12,2016,Dec 2016,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"CHN","China","Asia",1020227.338,2249193.19,TRUE,3425740,"Jan",1,2017,Jan 2017,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"ZAF","South Africa","Africa",538477.5,1187127.5,FALSE,2966216.002,"Jan",1,2017,Jan 2017,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"CHN","China","Asia",546441.517,1204684.97,TRUE,1622691,"Feb",2,2017,Feb 2017,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"ZAF","South Africa","Africa",89625,197587.28,FALSE,483489.949,"Feb",2,2017,Feb 2017,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"CHN","China","Asia",1084793.331,2391535.38,TRUE,3642541,"Mar",3,2017,Mar 2017,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",109399,241181.04,FALSE,564732.062,"Mar",3,2017,Mar 2017,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"CHN","China","Asia",1007479.782,2221089.93,TRUE,3382936,"Apr",4,2017,Apr 2017,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",17070,37632.52,FALSE,83561.215,"Apr",4,2017,Apr 2017,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"CHN","China","Asia",671775.39,1480996.02,TRUE,2255701,"May",5,2017,May 2017,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"IND","India","Asia",13766,30348.52,FALSE,187691.527,"May",5,2017,May 2017,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",49410,108929.29,FALSE,335313.767,"May",5,2017,May 2017,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"CHN","China","Asia",317858.588,700751.04,TRUE,1067312,"Jun",6,2017,Jun 2017,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",161431,355890.78,FALSE,1116265.223,"Jun",6,2017,Jun 2017,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"CHN","China","Asia",70164.864,154685.46,TRUE,235601,"Jul",7,2017,Jul 2017,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",40827,90007.2,FALSE,266554.574,"Jul",7,2017,Jul 2017,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"CHN","China","Asia",102699.363,226411.02,TRUE,344846,"Aug",8,2017,Aug 2017,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",135674,299106.9,FALSE,662624.159,"Aug",8,2017,Aug 2017,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",396489,874099.65,FALSE,2129616.793,"Sep",9,2017,Sep 2017,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"CHN","China","Asia",40132.285,88475.64,TRUE,134757,"Oct",10,2017,Oct 2017,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"ZAF","South Africa","Africa",814710,1796109.67,FALSE,4629747.195,"Oct",10,2017,Oct 2017,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"CHN","China","Asia",206779.086,455865.17,TRUE,694327,"Nov",11,2017,Nov 2017,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"ZAF","South Africa","Africa",747330,1647563.72,FALSE,2945380.495,"Nov",11,2017,Nov 2017,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"CHN","China","Asia",502644.835,1108130.8,TRUE,1687791,"Dec",12,2017,Dec 2017,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"ZAF","South Africa","Africa",179869,396539.2,FALSE,1027868.566,"Dec",12,2017,Dec 2017,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"CHN","China","Asia",420992,928118.96,FALSE,5144072,"Jan",1,2018,Jan 2018,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"ZAF","South Africa","Africa",187533,413435.25,FALSE,1175344.327,"Jan",1,2018,Jan 2018,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"CHN","China","Asia",245273,540728.86,FALSE,3043324,"Feb",2,2018,Feb 2018,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"ZAF","South Africa","Africa",81387,179425.78,FALSE,609203.668,"Feb",2,2018,Feb 2018,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"CHN","China","Asia",459310,1012594.83,FALSE,5978834,"Mar",3,2018,Mar 2018,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",165101.3,363982.33,FALSE,1244165.835,"Mar",3,2018,Mar 2018,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"CHN","China","Asia",285559,629543.37,FALSE,3840689,"Apr",4,2018,Apr 2018,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",35404.5,78052.76,FALSE,104768.667,"Apr",4,2018,Apr 2018,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"CHN","China","Asia",218310,481286.23,FALSE,3116034,"May",5,2018,May 2018,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",28527,62890.62,FALSE,164370.365,"May",5,2018,May 2018,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"CHN","China","Asia",193057,425613.46,FALSE,2797317,"Jun",6,2018,Jun 2018,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",32390.3,71407.66,FALSE,4151.673,"Jun",6,2018,Jun 2018,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"CHN","China","Asia",87222,192289.62,FALSE,962291,"Jul",7,2018,Jul 2018,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",20290.7,44732.88,FALSE,4237.143,"Jul",7,2018,Jul 2018,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",38.79,85.52,FALSE,1987.299,"Aug",8,2018,Aug 2018,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",1186,2614.66,FALSE,836.359,"Dec",12,2018,Dec 2018,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"CHN","China","Asia",103866,228982.98,FALSE,1295887,"Jan",1,2019,Jan 2019,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"CHN","China","Asia",100741,222093.61,FALSE,1095496,"Feb",2,2019,Feb 2019,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"ZAF","South Africa","Africa",64428,142037.97,FALSE,2344.948,"Feb",2,2019,Feb 2019,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"CHN","China","Asia",262718,579188.1,FALSE,3112254,"Mar",3,2019,Mar 2019,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"CHN","China","Asia",722366,1592528.08,FALSE,8456943,"Apr",4,2019,Apr 2019,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",223274,492229.86,FALSE,1726919.541,"Apr",4,2019,Apr 2019,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"CHN","China","Asia",402034,886324.16,FALSE,3706476,"May",5,2019,May 2019,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",81360,179366.26,FALSE,1359.703,"May",5,2019,May 2019,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"CHN","China","Asia",666586,1469555.5,FALSE,6564574,"Jun",6,2019,Jun 2019,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",147280,324693.49,FALSE,2590.295,"Jun",6,2019,Jun 2019,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"CHN","China","Asia",42336,93333.95,FALSE,180621,"Jul",7,2019,Jul 2019,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",69880,154057.45,FALSE,1359.265,"Jul",7,2019,Jul 2019,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"CHN","China","Asia",136975,301975.08,FALSE,890432,"Sep",9,2019,Sep 2019,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"ZAF","South Africa","Africa",300,661.38,FALSE,262.653,"Sep",9,2019,Sep 2019,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"ZAF","South Africa","Africa",155168.7,342084.92,FALSE,1582423.153,"Oct",10,2019,Oct 2019,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"CHN","China","Asia",69439,153085.22,FALSE,502721,"Nov",11,2019,Nov 2019,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"ZAF","South Africa","Africa",200,440.92,FALSE,253.317,"Nov",11,2019,Nov 2019,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"CHN","China","Asia",53166,117209.76,FALSE,432433,"Dec",12,2019,Dec 2019,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"ZAF","South Africa","Africa",319080,703443.77,FALSE,2671865.543,"Dec",12,2019,Dec 2019,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"CHN","China","Asia",9430,20789.38,FALSE,56580,"Jan",1,2020,Jan 2020,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"ZAF","South Africa","Africa",1719880,3791647.45,FALSE,8343819.087,"Jan",1,2020,Jan 2020,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"CHN","China","Asia",72409,159632.88,FALSE,450708,"Feb",2,2020,Feb 2020,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"ZAF","South Africa","Africa",1203120,2652398.35,FALSE,5587397.102,"Feb",2,2020,Feb 2020,"Northern Hemisphere Winter","Southern Hemisphere Summer"
